 3696.00000, 10481.00000, 1566, 28611268,10.0 Wavelength region, lines selected, lines processed, Vmicro
                                                                     Lande factors       Damping parameters  Central
Spec Ion       WL_air(A)  log gf* E_low(eV) J lo E_up(eV)  J up  lower   upper    mean   Rad.   Stark  Waals  depth
'  LS                                                             1s2.2p.(2P*).3d       1P*'
'NB         CNO, Na 1, Mg 1:C+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 WSG   5 WSG   5 WSG   5 WSG   4 NIST10'
'H 1',         3703.8593, -2.154, 10.1988,  0.5, 13.5453,  1.0, 99.000, 99.000, 99.000, 8.000, 2.000,16.000, 0.241,
'                                                                                       n=2'
'                                                                                      n=16'
'NAAA       NIST+Kurucz HlinH                3 wl:Kra2010   3 gf:Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010'
'O 3',         3704.1150, -0.370, 37.2250,  0.0, 40.5713,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.091,
'  LS                                                             2s2.2p.(2P*).3p        3P'
'  LS                                                             2s2.2p.(2P*).3d       3D*'
'_          Li 1 - K 5 Bell O+2              5 wl:KP   5 gf:KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP'
'He 1',        3704.6710, -3.111, 21.2180,  1.0, 24.5638,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.027,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.24d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'O 3',         3704.7490, -0.278, 41.9782,  1.0, 45.3239,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.038,
'  LS                                                           2s.2p2.(4P).3s           5P'
'  LS                                                             2s.2p2.(4P).3p        5D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'He 1',        3705.0010, -3.114, 20.9641,  2.0, 24.3095,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.030,
'  LS                                                            1s.2p                  3P*'
'  LS                                                              1s.7d                 3D'
'_          He Kurucz NLTE  He               1 wl:WSG   1 gf:WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG'
'He 1',        3705.0010, -1.194, 20.9641,  2.0, 24.3095,  3.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.364,
'  LS                                                            1s.2p                  3P*'
'  LS                                                              1s.7d                 3D'
'_          He Kurucz NLTE  He               1 wl:WSG   1 gf:WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG'
'He 1',        3705.0010, -1.944, 20.9641,  2.0, 24.3095,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.215,
'  LS                                                            1s.2p                  3P*'
'  LS                                                              1s.7d                 3D'
'_          He Kurucz NLTE  He               1 wl:WSG   1 gf:WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG'
'He 1',        3705.0110, -1.944, 20.9641,  1.0, 24.3095,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.214,
'  LS                                                            1s.2p                  3P*'
'  LS                                                              1s.7d                 3D'
'_          He Kurucz NLTE  He               1 wl:WSG   1 gf:WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG'
'He 1',        3705.0120, -1.464, 20.9641,  1.0, 24.3095,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.317,
'  LS                                                            1s.2p                  3P*'
'  LS                                                              1s.7d                 3D'
'_          He Kurucz NLTE  He               1 wl:WSG   1 gf:WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG'
'He 1',        3705.1470, -1.814, 20.9642,  0.0, 24.3095,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.244,
'  LS                                                            1s.2p                  3P*'
'  LS                                                              1s.7d                 3D'
'_          He Kurucz NLTE  He               1 wl:WSG   1 gf:WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG   1 WSG'
'He 2',        3706.1870, -2.091, 51.0168,  3.5, 54.3611,  4.5, 99.000, 99.000, 99.000,10.000, 0.000, 0.000, 0.017,
'                                                                                       n=4'
'                                                                                      n=31'
'_          He Kurucz NLTE  He+              1 wl:CDROM18   1 gf:CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18'
'He 1',        3706.9960, -3.055, 21.2180,  1.0, 24.5617,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.031,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.23d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'O 3',         3707.2720, -0.121, 37.2339,  1.0, 40.5773,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.116,
'  LS                                                           2s2.2p.(2P*).3p          3P'
'  LS                                                             2s2.2p.(2P*).3d       3D*'
